episode,reward
1,2.408819
2,-13.88204
3,1
4,2.530075
5,1
6,1
7,1
8,8.381193
9,2.1754
10,1
11,1
12,1
13,1.499988
14,2.198651
15,8.499998
16,0
17,-15
18,1.485431
19,1
20,1
21,1.473643
22,0.02250984
23,3.450533
24,4.100979
25,1
26,0
27,2.652214
28,0.07284334
29,0
30,1.317764
31,1
32,1
33,2.490532
34,0.4999998
35,5
36,-1.873847
37,1
38,1.090297
39,-1.11316
40,1.141373
41,1.087052
42,2
43,6.5
44,1.009976
45,1
46,3.857438
47,1
48,1
49,0.3733272
50,1
51,5.21623
52,1
53,-15
54,1.008027
55,2.240396
56,1.058796
57,1.058093
58,1
59,-14.96807
60,-1.211718
61,1.002389
62,1
63,3.357774
64,1
65,0.0164245
66,2.252527
67,1
68,2.364412
69,0
70,1
71,7.415687
72,3.286856
73,6.227178
74,1.084299
75,-1.50118
76,1
77,0.5646082
78,3.590729
79,0.004081164
80,1
81,1
82,2.141539
83,0.01067677
84,3.326035
85,0.01888712
86,1
87,9.499999
88,0.01203383
89,-14.98471
90,2.508048
91,1
92,0.02369743
93,4.790424
94,-14.97335
95,9.499999
96,-15
97,1
98,-15
99,1.009761
100,-15
101,1
102,1
103,1.009413
104,1
105,-15
106,0
107,3.503198
108,-14.97744
109,1.012863
110,3.473616
111,1
112,4.843052
113,1
114,1
115,1
116,4.305107
117,1.090947
118,0
119,1.002982
120,0
121,1.110753
122,0.2724311
123,1
124,0.1225553
125,6.03929
126,-0.5167014
127,2.5
128,0
129,0
130,7.499999
131,2.183754
132,4.836822
133,3.429432
134,4.725688
135,3.246326
136,0
137,1
138,1.00156
139,1.001554
140,1
141,1.000535
142,5.001686
143,1
144,2.38811
145,1.029993
146,1
147,1
148,1
149,1
150,1
151,7.412723
152,3.270562
153,2.143805
154,1
155,2.100785
156,0.008911911
157,2.157855
158,1
159,2.773205
160,1
161,1
162,0.05957819
163,2.234894
164,1.128276
165,1.669687
166,1
167,1
168,1
169,1
170,1
171,1
172,2.147024
173,0.01417894
174,1
175,-10.5
176,1
177,1.000113
178,5.500002
179,1
180,0.0006022301
181,-0.5442566
182,5
183,1.008928
184,2.59399
185,1
186,2.277083
187,1
188,-0.3737907
189,1
190,1.005647
191,3.242225
192,-14.97397
193,2.285242
194,2.188135
195,0.05833215
196,-14.92906
197,1
198,3.804959
199,1
200,0.02502438
201,0.08102681
202,1
203,5.566352
204,1
205,1
206,1
207,-14.36593
208,1
209,3.496134
210,-0.9950875
211,-13.5
212,1
213,-0.3342289
214,1
215,1
216,2.201644
217,1
218,3.481441
219,6.11689
220,-1.986008
221,1
222,2.318545
223,-0.02389888
224,1
225,1
226,0.01445602
227,1
228,1
229,1
230,1
231,0.4185277
232,-13.29434
233,1
234,0.03340192
235,7.252439
236,3.705009
237,0.009520952
238,1.008611
239,0.0442605
240,2.598798
241,1
242,1
243,2.405199
244,1.107175
245,3.422319
246,3.00636
247,1.222493
248,1.082242
249,1
250,1
251,1.038247
252,4.828788
253,-1.285905
254,0
255,0
256,0.2685117
257,-14.5
258,-14.99696
259,1
260,1
261,1
262,4.384604
263,2.085929
264,1.384929
265,1
266,1
267,-14.55134
268,0.4688966
269,3.435018
270,0.3725929
271,1
272,3.944762
273,1
274,1
275,1
276,2.471842
277,1
278,1
279,1.060469
280,1
281,1
282,1
283,-14.98239
284,0.1294951
285,1
286,1
287,2.438223
288,1
289,-14.94068
290,3.588119
291,2.197067
292,2.341985
293,-1.5
294,4.944616
295,1
296,1
297,1
298,0.03717705
299,2.371393
300,0.3240613
301,1.039915
302,0.2209383
303,0.262889
304,1
305,1
306,1
307,3.347822
308,-1
309,4.282096
310,0
311,4.692436
312,1
313,0
314,2.284404
315,4.668732
316,1.441455
317,1
318,1
319,1
320,1
321,1
322,0.1710108
323,2.167502
324,1
325,0.9912932
326,1
327,4.500001
328,1
329,0.8989
330,1
331,1.003337
332,1.003332
333,1
334,1.003331
335,0
336,1.068961
337,5.5
338,2.168137
339,1
340,1
341,2.15022
342,1
343,1
344,5.195332
345,0.06343606
346,0.0512502
347,1.009023
348,0.1113006
349,-0.5370916
350,1
351,1
352,-15
353,2.581823
354,1.031748
355,1.031365
356,1.323242
357,0.03839963
358,5.172946
359,1
360,1
361,1.031684
362,1
363,1
364,1.03069
365,1.32575
366,1.028862
367,6.042913
368,1.037632
369,1
370,2.490436
371,1
372,5.5
373,3.202981
374,1
375,1.041133
376,2.647913
377,1
378,1
379,1.042033
380,0.03444526
381,1
382,1
383,3.603344
384,-3.5
385,1.004169
386,0
387,1.008149
388,-15
389,1
390,1
391,1
392,1
393,2.145028
394,1
395,6.287469
396,4.230415
397,0
398,0
399,0.02365446
400,2.102937
401,2.149179
402,1
403,0.6205878
404,0.2493437
405,3.690842
406,1
407,0.04291403
408,2.127001
409,9.143009
410,0.0173551
411,4.738504
412,0
413,0.894867
414,1
415,1
416,0.0195898
417,2.477369
418,10.49115
419,0.04090436
420,5.500002
421,3.624507
422,0
423,0
424,8.187165
425,1
426,1
427,1
428,4.5
429,10.5
430,1.001744
431,1.001778
432,-0.3604695
433,1
434,1
435,-16
436,0
437,1.323957
438,2.197649
439,1
440,5.25887
441,5
442,0.1207431
443,0.3421857
444,1
445,1
446,2.16555
447,0.7870713
448,1
449,5.92174
450,1
451,2.900091
452,1
453,3.689986
454,-1.944407
455,1
456,2.291486
457,2.349374
458,0
459,6.033439
460,-2.258943
461,0.06262421
462,1.345051
463,1
464,1
465,1
466,4.850865
467,1
468,1
469,0.02030056
470,1.272005
471,2.60616
472,1.034489
473,0.03576174
474,0.06650575
475,4.500001
476,1
477,6.5
478,10.5
479,1
480,1
481,4.771618
482,-14.96283
483,1.028484
484,3.570265
485,1
486,1
487,1.451631
488,1
489,1
490,3.672268
491,2.081916
492,3.24023
493,1
494,-11.91972
495,2.303296
496,4.410756
497,0
498,0
499,3.417177
500,-1.952152
501,2.302929
502,0.3475477
503,1
504,0.09152152
505,2.275242
506,7.400596
507,0.02538634
508,0.0657275
509,1
510,0.2788453
511,-15.64567
512,0
513,1.007479
514,0
515,0.1974735
516,1
517,1
518,1
519,7.499999
520,1
521,1
522,-14.96314
523,2.418485
524,1.027961
525,1
526,1
527,2.34578
528,1
529,4.5
530,2.322682
531,2.216979
532,1
533,3.480046
534,3.857212
535,-7.499999
536,1.108036
537,-0.1545895
538,0.04252651
539,3.800567
540,1
541,1
542,0.3574899
543,4.901216
544,1
545,6.077863
546,1.027874
547,0.04653497
548,1
549,1
550,4.687088
551,1
552,2.556333
553,1.036367
554,0.08046116
555,0.1490555
556,1
557,-10.5
558,-1.908716
559,10.14827
560,4.5
561,0.006646283
562,1.000891
563,4.500001
564,1
565,1
566,1
567,1.004266
568,0
569,2.161829
570,0.2355229
571,1
572,1
573,2.112375
574,1
575,0.320345
576,3.426044
577,2.285582
578,1
579,4.126593
580,2.332131
581,1
582,5.97716
583,1
584,1
585,-1.5
586,0
587,1
588,0
589,2.270325
590,1
591,1.000264
592,3.58157
593,3.398683
594,0
595,-0.3540743
596,4.499998
597,1
598,1
599,1
600,3.645004
601,0
602,0
603,4.686681
604,1
605,2.377676
606,1
607,1
608,0.7255812
609,-14.97198
610,4.460663
611,1
612,1.076765
613,1
614,1.005441
615,1.072545
616,0
617,1
618,0.4104083
619,1
620,1
621,1
622,2.564881
623,2.247159
624,3.550872
625,2.221783
626,2.940503
627,4.428974
628,1
629,2.134943
630,0.01683192
631,1
632,0.9796495
633,1
634,4.5
635,1.002882
636,1
637,1
638,5.610891
639,-14.97988
640,9.499999
