episode,reward
1,12.5
2,12.5
3,5.499997
4,-2.500023
5,17.50001
6,7.500001
7,7.375492
8,-14.5
9,1
10,-2.500001
11,17.5
12,12.5
13,1
14,10.5
15,1
16,1
17,1
18,-8.500002
19,1
20,-3.500046
21,0
22,4.690511
23,-0.9735985
24,-1.587354
25,-2
26,0
27,0
28,2.54011
29,-8.499997
30,-1.660494
31,1
32,1
33,1
34,1
35,1
36,1
37,5.084208
38,8.499998
39,9.499995
40,-7.499993
41,1
42,1
43,-3.499998
44,-2.5
45,17.50001
46,2.172572
47,-1.534877
48,1
49,0
50,0.09902285
51,0.1546485
52,1
53,1
54,0
55,1
56,0
57,1
58,1.001342
59,1
60,1
61,1
62,-6.500001
63,1
64,1
65,11.49998
66,1
67,8.5
68,1
69,1
70,1
71,0.02185442
72,1.172014
73,1.607302
74,1
75,0.0577385
76,1.005897
77,0.2179877
78,1
79,7.5
80,1
81,-6.499998
82,-1.99511
83,1.002155
84,1
85,10.5
86,-15
87,1.00069
88,-15
89,8.430522
90,4.499991
91,-6.500001
92,9.117832
93,-14.99426
94,-6.50001
95,7.499999
96,8.499999
97,1
98,1
99,1
